title,date,category,link
Former Nurse Aide Indicted In Death Of Clarksville Patient Arrested In Georgia,2024-01-03,Former Nurse Aide Indicted In Death Of Clarksville Patient Arrested In Georgia,https://oig.hhs.gov/fraud/enforcement/former-nurse-aide-indicted-in-death-of-clarksville-patient-arrested-in-georgia/
Laredo Resident Admits To Impersonating Licensed Nurse,2024-01-03,Laredo Resident Admits To Impersonating Licensed Nurse,https://oig.hhs.gov/fraud/enforcement/laredo-resident-admits-to-impersonating-licensed-nurse/
"Recover-Care Plaza West Care Center Agreed to Pay $211,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-01-04,"Recover-Care Plaza West Care Center Agreed to Pay $211,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",https://oig.hhs.gov/fraud/enforcement/recover-care-plaza-west-care-center-agreed-to-pay-211000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Patricia Perez Agreed to Be Excluded for 7 Years for Allegedly Paying Improper Remuneration,2024-01-04,Patricia Perez Agreed to Be Excluded for 7 Years for Allegedly Paying Improper Remuneration,https://oig.hhs.gov/fraud/enforcement/patricia-perez-agreed-to-be-excluded-for-7-years-for-allegedly-paying-improper-remuneration/
Memphis-Based Methodist Le Bonheur Healthcare And Methodist Healthcare-Memphis Hospitals Pay $7.25 Million To Settle Allegations That They Violated The False Claims Act,2024-01-04,Memphis-Based Methodist Le Bonheur Healthcare And Methodist Healthcare-Memphis Hospitals Pay $7.25 Million To Settle Allegations That They Violated The False Claims Act,https://oig.hhs.gov/fraud/enforcement/memphis-based-methodist-le-bonheur-healthcare-and-methodist-healthcare-memphis-hospitals-pay-725-million-to-settle-allegations-that-they-violated-the-false-claims-act/
"Maury County Caregiver Charged With Financial Exploitation, Theft",2024-01-04,"Maury County Caregiver Charged With Financial Exploitation, Theft",https://oig.hhs.gov/fraud/enforcement/maury-county-caregiver-charged-with-financial-exploitation-theft/
"Athletico Management, PT Network, and Dynamic Therapy Services Agreed to Pay $51,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",2024-01-04,"Athletico Management, PT Network, and Dynamic Therapy Services Agreed to Pay $51,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual",https://oig.hhs.gov/fraud/enforcement/athletico-management-pt-network-and-dynamic-therapy-services-agreed-to-pay-51000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Florida Research Hospital Agrees To Pay More Than $19.5 Million To Resolve Liability Relating To Self-Disclosure Of Improper Billing For Clinical Trial Costs,2024-01-04,Florida Research Hospital Agrees To Pay More Than $19.5 Million To Resolve Liability Relating To Self-Disclosure Of Improper Billing For Clinical Trial Costs,https://oig.hhs.gov/fraud/enforcement/florida-research-hospital-agrees-to-pay-more-than-195-million-to-resolve-liability-relating-to-self-disclosure-of-improper-billing-for-clinical-trial-costs/
Two Florida Residents Sentenced for $93M Health Care Fraud and Money Laundering Scheme,2024-01-05,Two Florida Residents Sentenced for $93M Health Care Fraud and Money Laundering Scheme,https://oig.hhs.gov/fraud/enforcement/two-florida-residents-sentenced-for-93m-health-care-fraud-and-money-laundering-scheme/
Shelton Man Sentenced on Charge of Cruelty to Persons,2024-01-05,Shelton Man Sentenced on Charge of Cruelty to Persons,https://oig.hhs.gov/fraud/enforcement/shelton-man-sentenced-on-charge-of-cruelty-to-persons/
Home Healthcare Company Agrees to Pay Nearly $10 Million to Resolve False Claims Act Allegations Relating to Its Participation in the Energy Employees Occupational Illness Compensation Program,2024-01-05,Home Healthcare Company Agrees to Pay Nearly $10 Million to Resolve False Claims Act Allegations Relating to Its Participation in the Energy Employees Occupational Illness Compensation Program,https://oig.hhs.gov/fraud/enforcement/home-healthcare-company-agrees-to-pay-nearly-10-million-to-resolve-false-claims-act-allegations-relating-to-its-participation-in-the-energy-employees-occupational-illness-compensation-program/
Larue County Couple Sentenced to Over Two Years in Federal Prison for Conspiring to Sell Hydrocodone and Oxycodone Stolen from Pharmacy,2024-01-08,Larue County Couple Sentenced to Over Two Years in Federal Prison for Conspiring to Sell Hydrocodone and Oxycodone Stolen from Pharmacy,https://oig.hhs.gov/fraud/enforcement/larue-county-couple-sentenced-to-over-two-years-in-federal-prison-for-conspiring-to-sell-hydrocodone-and-oxycodone-stolen-from-pharmacy/
"Independence Home Healthcare and Jose Vincente Perez Agreed to Pay $377,000 and Be Excluded for 20 Years for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual and Paying Improper Remuneration",2024-01-08,"Independence Home Healthcare and Jose Vincente Perez Agreed to Pay $377,000 and Be Excluded for 20 Years for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual and Paying Improper Remuneration",https://oig.hhs.gov/fraud/enforcement/independence-home-healthcare-and-jose-vincente-perez-agreed-to-pay-377000-and-be-excluded-for-20-years-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual-and-paying-improper-remuneration/
Nine Indicted in Federal Health Care Fraud Probe,2024-01-09,Nine Indicted in Federal Health Care Fraud Probe,https://oig.hhs.gov/fraud/enforcement/nine-indicted-in-federal-health-care-fraud-probe/
